"wq_name","site","model","month","Fut1diff_median","Fut2diff_median","Fut1like","Fut2like","Fut1med_use","Fut2med_use","X0"
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Nov",-0.0242623230301775,-0.0347375713689853,57,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Dec",-0.000628866583887611,-0.00718246247161236,51,52,NA,NA,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Jan",-0.536514799327835,-0.915065208053435,100,100,-0.536514799327835,-0.915065208053435,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Feb",-0.544976554633313,-0.988613284388468,100,100,-0.544976554633313,-0.988613284388468,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Mar",-0.748574838436955,-1.00824182109994,100,100,-0.748574838436955,-1.00824182109994,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Apr",-0.304807221891653,-0.750579958940083,100,100,-0.304807221891653,-0.750579958940083,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","May",-0.14945153743861,-0.90898275789909,98,100,-0.14945153743861,-0.90898275789909,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Jun",-0.374632608515577,-1.17234545854675,100,100,-0.374632608515577,-1.17234545854675,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Jul",-1.2450712437809,-2.09732143987345,100,100,-1.2450712437809,-2.09732143987345,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Aug",-1.64501349949383,-2.41191335032986,100,100,-1.64501349949383,-2.41191335032986,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Sep",-1.69217386386828,-2.28392917875171,100,100,-1.69217386386828,-2.28392917875171,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Oct",-1.08279961126044,-1.17323321538422,100,100,-1.08279961126044,-1.17323321538422,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Nov",-0.88662940884327,-1.15265108242422,100,100,-0.88662940884327,-1.15265108242422,NA
"Turbidity Alafia R at Lithia","Alafia","BNU-ESM","Dec",-0.579414777289745,-0.817567399996767,100,100,-0.579414777289745,-0.817567399996767,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Jan",0.593663482634075,0.805796773337838,100,100,0.593663482634075,0.805796773337838,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Feb",0.87671024505719,0.766940819123727,100,100,0.87671024505719,0.766940819123727,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Mar",0.23472117727655,0.5623899871964,95,100,0.23472117727655,0.5623899871964,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Apr",0.00495178471853763,-0.0595653313986648,53,73,NA,NA,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","May",0.21165969413001,-0.229691976870787,100,100,0.21165969413001,-0.229691976870787,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Jun",0.767175008457595,0.092583936747205,100,75,0.767175008457595,NA,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Jul",1.02841159947175,0.461437681237248,100,100,1.02841159947175,0.461437681237248,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Aug",1.29592492387019,0.609812308499848,100,100,1.29592492387019,0.609812308499848,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Sep",2.15501282644838,2.08845798919315,100,100,2.15501282644838,2.08845798919315,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Oct",1.58805316376956,2.28791542176212,100,100,1.58805316376956,2.28791542176212,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Nov",1.07179050184288,1.22769146415152,100,100,1.07179050184288,1.22769146415152,NA
"Turbidity Alafia R at Lithia","Alafia","GFDL-CM3","Dec",0.655670013925262,0.73353224057708,100,100,0.655670013925262,0.73353224057708,NA
