"title","model","per","not_fine"
"TOC Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0159865748101042
"TOC Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.0449567214273097
"TOC Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0107232489162674
"TOC Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0190779014308426
"TOC Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.03003003003003
"TOC Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0117499429614419
"TOC Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0172231054583996
"TOC Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0491079314608727
"TOC Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00205338809034905
"TOC Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0177530471648119
"TOC Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0518459636106695
"TOC Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00365046771617616
"TOC Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0140434552199258
"TOC Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0336512983571807
"TOC Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.0041067761806981
"TOC Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.00892068539127366
"TOC Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0123653064829535
"TOC Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0140314852840521
"TOC Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0136901607489843
"TOC Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0438085143967497
"TOC Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.00798539812913535
"TOC Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0285285285285285
"TOC Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.104751810634164
