"title","Q_cfs_log_round","wq_orig"
"Nitrogen Hillsborough R at Morris Br",-7.777,NA
"Nitrogen Hillsborough R at Morris Br",-7.776,NA
"Nitrogen Hillsborough R at Morris Br",-7.775,NA
"Nitrogen Hillsborough R at Morris Br",-7.774,NA
"Nitrogen Hillsborough R at Morris Br",-7.773,NA
"Nitrogen Hillsborough R at Morris Br",-7.772,NA
"Nitrogen Hillsborough R at Morris Br",-7.771,NA
"Nitrogen Hillsborough R at Morris Br",-7.77,NA
"Nitrogen Hillsborough R at Morris Br",-7.769,NA
"Nitrogen Hillsborough R at Morris Br",-7.768,NA
"Nitrogen Hillsborough R at Morris Br",-7.767,NA
"Nitrogen Hillsborough R at Morris Br",-7.766,NA
"Nitrogen Hillsborough R at Morris Br",-7.765,NA
"Nitrogen Hillsborough R at Morris Br",-7.764,NA
"Nitrogen Hillsborough R at Morris Br",-7.763,NA
"Nitrogen Hillsborough R at Morris Br",-7.762,NA
"Nitrogen Hillsborough R at Morris Br",-7.761,NA
"Nitrogen Hillsborough R at Morris Br",-7.76,NA
"Nitrogen Hillsborough R at Morris Br",-7.759,NA
"Nitrogen Hillsborough R at Morris Br",-7.758,NA
"Nitrogen Hillsborough R at Morris Br",-7.757,NA
"Nitrogen Hillsborough R at Morris Br",-7.756,NA
"Nitrogen Hillsborough R at Morris Br",-7.755,NA
"Nitrogen Hillsborough R at Morris Br",-7.754,NA
"Nitrogen Hillsborough R at Morris Br",-7.753,NA
"Nitrogen Hillsborough R at Morris Br",-7.752,NA
"Nitrogen Hillsborough R at Morris Br",-7.751,NA
"Nitrogen Hillsborough R at Morris Br",-7.75,NA
"Nitrogen Hillsborough R at Morris Br",-7.749,NA
"Nitrogen Hillsborough R at Morris Br",-7.748,NA
"Nitrogen Hillsborough R at Morris Br",-7.747,NA
"Nitrogen Hillsborough R at Morris Br",-7.746,NA
"Nitrogen Hillsborough R at Morris Br",-7.745,NA
"Nitrogen Hillsborough R at Morris Br",-7.744,NA
"Nitrogen Hillsborough R at Morris Br",-7.743,NA
"Nitrogen Hillsborough R at Morris Br",-7.742,NA
"Nitrogen Hillsborough R at Morris Br",-7.741,NA
"Nitrogen Hillsborough R at Morris Br",-7.74,NA
"Nitrogen Hillsborough R at Morris Br",-7.739,NA
"Nitrogen Hillsborough R at Morris Br",-7.738,NA
"Nitrogen Hillsborough R at Morris Br",-7.737,NA
"Nitrogen Hillsborough R at Morris Br",-7.736,NA
"Nitrogen Hillsborough R at Morris Br",-7.735,NA
"Nitrogen Hillsborough R at Morris Br",-7.734,NA
"Nitrogen Hillsborough R at Morris Br",-7.733,NA
"Nitrogen Hillsborough R at Morris Br",-7.732,NA
"Nitrogen Hillsborough R at Morris Br",-7.731,NA
"Nitrogen Hillsborough R at Morris Br",-7.73,NA
"Nitrogen Hillsborough R at Morris Br",-7.729,NA
"Nitrogen Hillsborough R at Morris Br",-7.728,NA
"Nitrogen Hillsborough R at Morris Br",-7.727,NA
"Nitrogen Hillsborough R at Morris Br",-7.726,NA
"Nitrogen Hillsborough R at Morris Br",-7.725,NA
"Nitrogen Hillsborough R at Morris Br",-7.724,NA
"Nitrogen Hillsborough R at Morris Br",-7.723,NA
"Nitrogen Hillsborough R at Morris Br",-7.722,NA
"Nitrogen Hillsborough R at Morris Br",-7.721,NA
"Nitrogen Hillsborough R at Morris Br",-7.72,NA
"Nitrogen Hillsborough R at Morris Br",-7.719,NA
"Nitrogen Hillsborough R at Morris Br",-7.718,NA
"Nitrogen Hillsborough R at Morris Br",-7.717,NA
"Nitrogen Hillsborough R at Morris Br",-7.716,NA
"Nitrogen Hillsborough R at Morris Br",-7.715,NA
"Nitrogen Hillsborough R at Morris Br",-7.714,NA
"Nitrogen Hillsborough R at Morris Br",-7.713,NA
"Nitrogen Hillsborough R at Morris Br",-7.712,NA
"Nitrogen Hillsborough R at Morris Br",-7.711,NA
"Nitrogen Hillsborough R at Morris Br",-7.71,NA
"Nitrogen Hillsborough R at Morris Br",-7.709,NA
"Nitrogen Hillsborough R at Morris Br",-7.708,NA
"Nitrogen Hillsborough R at Morris Br",-7.707,NA
"Nitrogen Hillsborough R at Morris Br",-7.706,NA
"Nitrogen Hillsborough R at Morris Br",-7.705,NA
"Nitrogen Hillsborough R at Morris Br",-7.704,NA
