"sim_low","sim_high","sim_mean","sim_median","sim_val","Q_cfs_log_round","in_or_out","method","max_flow_sampled","min_flow_sampled"
110.201449423028,205.845095036399,155.104634359742,154.553791694689,137.319071467255,-2.7,"OOR","GAM",8.1,2.5
105.449508022526,202.839270297552,153.195498508282,151.380503759797,171.06334964892,-2.6,"OOR","GAM",8.1,2.5
110.565152620184,204.731164853448,154.953764208707,154.429494709444,136.605157092432,-2.5,"OOR","GAM",8.1,2.5
115.368080048764,206.639201588323,156.673421449823,154.158698803118,183.019499428081,-2.4,"OOR","GAM",8.1,2.5
110.990219350316,200.633430959428,152.884989790602,154.054588450831,181.485292873465,-2.3,"OOR","GAM",8.1,2.5
109.507503565526,200.411379171202,154.211736447073,154.154186318463,192.586073488349,-2.2,"OOR","GAM",8.1,2.5
116.398896433602,208.680814729259,155.629513539043,154.415703295551,186.531297379926,-2.1,"OOR","GAM",8.1,2.5
110.080513111323,204.150228876024,150.675194324764,149.741365178415,147.334817626067,-2,"OOR","GAM",8.1,2.5
108.059862158434,204.870757440297,153.315615005874,150.789744521178,136.664493209863,-1.9,"OOR","GAM",8.1,2.5
111.605541859583,199.504256925194,153.796879217233,155.359028049398,162.752536122913,-1.8,"OOR","GAM",8.1,2.5
116.074405277151,205.941780407717,155.573582135978,154.783672650145,146.725931516136,-1.7,"OOR","GAM",8.1,2.5
109.106681930623,203.472275248283,151.841303907008,149.944166140713,129.395760683871,-1.6,"OOR","GAM",8.1,2.5
110.793492126352,201.432003311159,151.769451891519,150.710512346067,174.445116295124,-1.5,"OOR","GAM",8.1,2.5
109.932361033931,202.035269405466,150.321799581009,149.450220100372,146.691316884319,-1.4,"OOR","GAM",8.1,2.5
108.282401452348,199.875308895753,150.696743247915,149.412359223676,168.980715898624,-1.3,"OOR","GAM",8.1,2.5
109.794270581935,191.593269647392,150.412027783174,148.779883641187,149.255647587237,-1.2,"OOR","GAM",8.1,2.5
102.679795184582,195.985475540725,149.509640766877,149.747522552249,142.82059702373,-1.1,"OOR","GAM",8.1,2.5
108.2242891439,192.067477110452,150.92025289901,150.589099088794,127.616610575245,-0.999999999999999,"OOR","GAM",8.1,2.5
115.373194176505,194.823957185902,151.732523675778,150.546074517145,138.176726904391,-0.899999999999999,"OOR","GAM",8.1,2.5
108.854206691068,191.247783235672,148.807767111721,148.441894835616,123.600053648071,-0.799999999999999,"OOR","GAM",8.1,2.5
108.205608569985,197.584854134788,149.522487508979,149.393712251961,134.515321910381,-0.699999999999999,"OOR","GAM",8.1,2.5
108.039988562282,201.763267114723,149.698141096234,147.222347869131,99.3832582072876,-0.6,"OOR","GAM",8.1,2.5
106.280696633134,191.714087444734,147.932800678946,146.551717532383,195.55101913973,-0.499999999999999,"OOR","GAM",8.1,2.5
102.608036690294,198.336949279194,149.520524651646,150.321033449963,108.251304632069,-0.399999999999999,"OOR","GAM",8.1,2.5
107.332186044977,189.777306158417,146.256759775896,145.028997246801,162.295412480503,-0.299999999999999,"OOR","GAM",8.1,2.5
107.418278340225,198.663819540502,146.884356859079,146.232904432466,147.32687659724,-0.199999999999999,"OOR","GAM",8.1,2.5
105.45194408266,202.864459679531,149.675465654563,148.081778063901,143.838110714511,-0.0999999999999996,"OOR","GAM",8.1,2.5
106.803268570492,194.210146735821,147.087561955733,145.315343469264,114.520978514883,0,"OOR","GAM",8.1,2.5
106.765365230964,192.284236015929,146.364801717939,145.668623602802,134.28604190843,0.100000000000001,"OOR","GAM",8.1,2.5
105.643050735044,186.547917643486,145.091415306863,144.690561382014,165.577160650421,0.200000000000001,"OOR","GAM",8.1,2.5
108.837016164054,197.3476935377,144.262479711678,143.411050700954,115.943400166148,0.300000000000001,"OOR","GAM",8.1,2.5
102.335052899309,190.452806887687,144.799235690654,146.665798458556,162.316050166201,0.4,"OOR","GAM",8.1,2.5
103.779570636386,192.720544147289,143.138165877594,141.675502993436,127.638294340992,0.5,"OOR","GAM",8.1,2.5
103.220875409812,184.101504500258,144.934525252896,144.652946813082,131.831973690775,0.600000000000001,"OOR","GAM",8.1,2.5
100.173908327647,189.71626924329,139.732635069927,136.646501133872,194.936140731761,0.700000000000001,"OOR","GAM",8.1,2.5
101.082537490795,189.039852218893,144.803875768929,143.116759266019,124.539475892491,0.800000000000001,"OOR","GAM",8.1,2.5
101.965960731202,189.611466925426,142.102794652862,141.876582204852,140.974360402328,0.9,"OOR","GAM",8.1,2.5
