"Q_cfs_log_round","mu_mean","mu_025","mu_975","y_mean","y_025","y_975","title","in_or_out","method","max_flow_sampled","min_flow_sampled"
4.3,0.0926427208011445,0.0823233438906982,0.102016905866534,0.0938821743882147,0.0445520427302015,0.170472403965112,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.4,0.0998432898186079,0.0899061629373381,0.109335923441374,0.100812527219907,0.0453485349631392,0.18258676804977,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.5,0.10746559214291,0.0980412830929458,0.118296354491388,0.106683352100264,0.0471172967929439,0.187574824559245,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.6,0.115516614203684,0.106667669852844,0.125311476189048,0.116334393687642,0.0533340709251309,0.199850111262156,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.7,0.124001585507917,0.114743698906614,0.134311688848025,0.125806894479545,0.0550535852012517,0.226714512669871,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.8,0.132923875918587,0.12266959815349,0.143655654106308,0.133267317387948,0.0598149257190899,0.236637202486462,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.9,0.142284919757224,0.131126598611048,0.154959102313549,0.140914545558791,0.0615237310815085,0.255617336380933,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5,0.152084170325301,0.140114125556685,0.165867394489466,0.151553613113673,0.0688370440877066,0.267974151146257,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.1,0.162319087931896,0.149318565532321,0.177608373886837,0.164086181445142,0.0712336141311773,0.290291888654248,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.2,0.172985163885266,0.159181066412985,0.189774979578643,0.173845159981463,0.0788168071727919,0.313220455334085,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.3,0.184075982170036,0.16950712667628,0.202476677465146,0.183412614584447,0.0803571825340316,0.326753915440963,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.4,0.195583319708361,0.180365877587886,0.215194111752397,0.193337974336891,0.0869237970261245,0.35410335884871,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.5,0.207497285221518,0.191175384796123,0.229103179718898,0.209900830998468,0.095577603219491,0.36554130861047,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.6,0.219806495793372,0.202061167650164,0.242506328407194,0.221002664420212,0.0929804667073242,0.38793123632824,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.7,0.232498289323896,0.212425543574429,0.254743372817048,0.235069526995587,0.0979736109933789,0.415215057716035,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.8,0.245558970179436,0.225114130050293,0.268077375202817,0.245028527306481,0.113954829810654,0.430232680711829,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
5.9,0.258974084530303,0.236704041503855,0.281341533318639,0.258974958904747,0.115950124128137,0.459541116789457,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6,0.272728721143975,0.248655686311519,0.295530700199245,0.267960403427544,0.123199391093051,0.47118175419539,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.1,0.286807832802512,0.260965305669742,0.311612711085237,0.282001205389247,0.122043118687427,0.500900426152411,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.2,0.30119657305295,0.273397772866912,0.329737890513881,0.302362216227889,0.132721799735917,0.53587732134567,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.3,0.315880642701967,0.286157261123286,0.350046638230837,0.320286072678475,0.147607899619539,0.589307789537988,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.4,0.330846640332884,0.297957789533601,0.366900179998135,0.335870872663208,0.145778600004456,0.59586440271329,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.5,0.346082411163202,0.310627126875066,0.388400854355003,0.346048972628222,0.154022291778975,0.623599813630881,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.6,0.361577388766216,0.322090782696355,0.407459862523166,0.364591956867727,0.180793121439468,0.635057655639804,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.7,0.377322924541226,0.33241542794777,0.432556070015412,0.380664471654957,0.170183465373075,0.657776587870446,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.8,0.393312600317265,0.342171793644501,0.460003092121337,0.383172155707893,0.166623278872265,0.669871400056035,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
6.9,0.409542520094354,0.34923519921528,0.490882973397509,0.403253593714281,0.174790930381253,0.715004270573034,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7,0.426011577635292,0.354922707816453,0.521792632962071,0.426975193174088,0.195943859970188,0.796804490372245,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.1,0.442721697399687,0.360405169973521,0.553946815389306,0.429650584693464,0.190082889284301,0.754441731061538,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.2,0.459678047121865,0.364515331588085,0.58956905005023,0.465611424820126,0.197924476712333,0.916411914118623,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.3,0.476889221156477,0.367195111814553,0.632165360138545,0.479006190728817,0.195263824832991,0.869393230776037,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.4,0.494367394517101,0.371317225671649,0.669212933981381,0.489025529244907,0.213414371345671,0.88626436977821,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.5,0.512128448290282,0.373799671571111,0.712338817555794,0.498659361171505,0.203064638422216,0.957231124223832,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.6,0.530192067800904,0.375000841880769,0.758213959656365,0.534953301182769,0.222035042955983,1.02448741449499,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.7,0.548581815516818,0.376043788317715,0.807013101179233,0.553030251843895,0.242292456371806,1.05899145000445,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
7.8,0.567325181194567,0.376392799109708,0.85892215907143,0.5615879629125,0.226760005327662,1.13302478088558,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
7.9,0.586453612180992,0.376541659144184,0.914138949256876,0.586731869155259,0.244933276435656,1.26374338102506,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8,0.606002527090626,0.376262184201195,0.972873956554075,0.588285563382721,0.232902537846462,1.25561340945953,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.1,0.626011316272352,0.374448782301735,1.03535115458304,0.620846481217937,0.223930389929931,1.26574422819996,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
8.2,0.646523332572924,0.371671055676693,1.10180887883741,0.659869483012553,0.242469404537038,1.48321219699281,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
